Iteration,Diffusion
150000,84.1109
151000,33.8312
152000,28.5364
153000,27.2115
154000,34.0066
155000,37.8973
156000,30.103
157000,32.9238
158000,33.6814
159000,32.9989
160000,34.8921
161000,31.5847
162000,34.4072
163000,26.5766
164000,32.1258
165000,31.2255
166000,31.5464
167000,36.0181
168000,33.468
169000,31.5207
170000,31.7186
171000,34.3921
172000,29.4293
173000,35.5912
174000,33.8033
175000,34.9566
176000,27.6428
177000,31.2743
178000,33.6766
179000,31.6497
180000,32.011
181000,33.1371
182000,31.6626
183000,28.9664
184000,25.2062
185000,33.8043
186000,31.8268
187000,30.0221
188000,28.7212
189000,28.508
190000,25.7479
191000,25.8708
192000,25.634
193000,27.5318
194000,38.4439
195000,30.1184
196000,31.045
197000,32.0331
198000,32.9757
199000,28.7151
200000,31.3472
201000,27.9471
202000,35.544
203000,32.0901
204000,27.1394
205000,34.8651
206000,25.5475
207000,30.4635
208000,32.5486
209000,29.3161
210000,33.3549
211000,34.4618
212000,31.0349
213000,29.5576
214000,29.8564
215000,29.6098
216000,25.2915
217000,32.5179
218000,30.9674
219000,30.6934
220000,25.9533
221000,30.9707
222000,22.4475
223000,28.1997
224000,25.971
225000,27.4021
226000,33.1297
227000,24.1712
228000,31.1112
229000,29.4792
230000,25.2313
231000,28.4199
232000,30.8866
233000,25.2688
234000,33.9689
235000,28.5131
236000,29.4684
237000,23.3651
238000,26.5618
239000,36.786
240000,22.196
241000,29.3895
242000,25.9824
243000,29.8628
244000,29.2949
245000,30.0251
246000,27.1127
247000,27.1218
248000,29.072
249000,25.6708
250000,30.1807
251000,30.1293
252000,30.0187
253000,26.6392
254000,28.2192
255000,32.1474
256000,25.8251
257000,24.8136
258000,22.8051
259000,25.0027
260000,22.5976
261000,24.1374
262000,27.0564
263000,26.7364
264000,20.4755
265000,28.3449
266000,25.3791
267000,27.0468
268000,25.8652
269000,26.0011
270000,27.3079
271000,28.5478
272000,22.1845
273000,26.9847
274000,23.0208
275000,26.3876
276000,27.6726
277000,22.1735
278000,27.055
279000,22.7462
280000,26.1297
281000,22.7765
282000,21.021
283000,27.4825
284000,20.3601
285000,28.8236
286000,24.8033
287000,23.8847
288000,25.8601
289000,24.0932
290000,25.9113
291000,23.043
292000,20.3931
293000,34.5014
294000,20.2402
295000,20.9415
296000,23.7651
297000,24.9543
298000,26.5092
299000,23.0712
300000,20.8825
301000,22.8804
302000,24.3997
303000,27.172
304000,21.7584
305000,25.3914
306000,25.3365
307000,25.0065
308000,25.6551
309000,19.91
310000,20.4809
311000,25.565
312000,18.7042
313000,20.8533
314000,17.3792
315000,23.6279
316000,24.1751
317000,23.5875
318000,25.3236
319000,16.8473
320000,24.1107
321000,17.2828
322000,15.3529
323000,25.7077
324000,25.4591
325000,19.7398
326000,20.0343
327000,22.5014
328000,19.6974
329000,17.3758
330000,24.7031
331000,19.8204
332000,25.1828
333000,20.4216
334000,19.0937
335000,19.2351
336000,20.2982
337000,17.3642
338000,18.6411
339000,19.9536
340000,20.4596
341000,21.3111
342000,22.264
343000,20.9465
344000,22.2056
345000,23.5287
346000,17.2669
347000,16.59
348000,19.6407
349000,13.6057
350000,24.2477
351000,18.4512
352000,17.1773
353000,18.8001
354000,17.9676
355000,16.4603
356000,20.2727
357000,19.9202
358000,12.2881
359000,20.549
360000,16.0853
361000,16.1893
362000,16.7067
363000,17.8801
364000,17.4285
365000,16.117
366000,13.6423
367000,19.1626
368000,13.576
369000,17.4567
370000,20.6028
371000,20.9912
372000,21.2058
373000,15.6155
374000,14.231
375000,12.9518
376000,14.1142
377000,21.0155
378000,16.5538
379000,16.8438
380000,19.9046
381000,14.2447
382000,12.9847
383000,19.2823
384000,14.9715
385000,16.0668
386000,19.3379
387000,18.0176
388000,18.6986
389000,12.2275
390000,11.1478
391000,15.948
392000,16.2332
393000,15.5317
394000,11.6929
395000,15.5125
396000,7.87216
397000,16.0922
398000,15.458
399000,11.6896
400000,12.2531
