Iteration,Bin,Density,Velocity X,Velocity Y,Velocity Z
0,0,-,-,-,-
0,1,1.66667,0,0,0
0,2,-,-,-,-
0,3,1.66667,0,0,0
0,4,-,-,-,-
0,5,1.15741,-0.284427,0,-0.090628
0,6,-,-,-,-
0,7,1.15741,-0.516314,0,-0.513177
0,8,-,-,-,-
0,9,1.15741,-0.30772,0,0.129161
0,10,-,-,-,-
0,11,1.15741,-0.111963,0,0.48079
0,12,-,-,-,-
0,13,1.15741,-0.861755,0,-0.60496
0,14,-,-,-,-
0,15,1.15741,-0.706113,0,0.172376
0,16,-,-,-,-
0,17,1.15741,0.232474,0,0.47896
0,18,-,-,-,-
0,19,1.15741,0.697127,0,-0.155795
0,20,-,-,-,-
0,21,1.15741,-0.293001,0,0.634403
0,22,-,-,-,-
0,23,1.15741,0.556772,0,-0.112303
0,24,-,-,-,-
0,25,1.15741,0.785802,0,-0.352193
0,26,-,-,-,-
0,27,1.15741,-0.300609,0,-0.323588
0,28,-,-,-,-
0,29,1.15741,0.184211,0,-0.524746
0,30,-,-,-,-
0,31,1.15741,0.475143,0,0.494446
0,32,-,-,-,-
0,33,1.15741,0.123052,0,0.0943914
0,34,-,-,-,-
0,35,1.15741,0.499044,0,0.202965
0,36,-,-,-,-
0,37,1.15741,-0.12637,0,0.00551369
0,38,-,-,-,-
0,39,1.15741,0.13842,0,0.159741
0,40,-,-,-,-
0,41,1.15741,-0.763459,0,0.52077
0,42,-,-,-,-
0,43,1.15741,0.0245099,0,0.437482
0,44,-,-,-,-
0,45,1.66667,0,0,0
0,46,-,-,-,-
0,47,1.66667,0,0,0
0,48,-,-,-,-
0,49,-,-,-,-
10000,0,-,-,-,-
10000,1,1.66667,0,0,0
10000,2,-,-,-,-
10000,3,1.66667,0,0,0
10000,4,0.351852,0.111819,-0.846217,0.522139
10000,5,0.578704,-0.293217,-0.569436,0.967389
10000,6,0.606481,0.0674395,-1.4444,-0.0433128
10000,7,0.509259,0.611745,-2.15396,-0.139141
10000,8,0.662037,-0.929461,-3.08906,0.3388
10000,9,0.518519,-0.328958,-3.0023,0.28745
10000,10,0.583333,0.464323,-3.23627,1.05688
10000,11,0.625,0.130759,-2.53941,0.326352
10000,12,0.527778,0.0881449,-4.77133,-0.0324549
10000,13,0.62963,0.830305,-3.78141,0.0228571
10000,14,0.546296,-0.159354,-3.65884,1.05718
10000,15,0.578704,-0.520165,-3.1109,0.0496256
10000,16,0.569444,-0.218896,-4.79682,1.22129
10000,17,0.625,-0.91955,-4.70896,0.299551
10000,18,0.601852,-0.407317,-3.06726,1.52515
10000,19,0.560185,0.0921038,-3.91452,-0.643495
10000,20,0.601852,-0.569017,-3.87387,-0.910803
10000,21,0.532407,-0.926378,-2.96583,-0.904175
10000,22,0.578704,0.357074,-4.10626,0.200493
10000,23,0.694444,0.538902,-3.07726,-0.43558
10000,24,0.574074,-0.754154,-3.99834,1.45533
10000,25,0.587963,-0.349778,-4.14861,0.758365
10000,26,0.569444,0.344689,-4.07339,-1.02675
10000,27,0.555556,0.0333343,-3.32772,-0.775788
10000,28,0.578704,0.459453,-4.06378,0.251897
10000,29,0.546296,0.0776671,-3.58937,0.669417
10000,30,0.638889,0.582756,-4.05784,-0.0832153
10000,31,0.574074,-0.299601,-3.70739,-0.133279
10000,32,0.569444,0.659175,-3.16592,-0.19961
10000,33,0.578704,0.618183,-2.84318,0.185581
10000,34,0.569444,-0.171508,-3.61172,-0.355264
10000,35,0.592593,-0.5998,-3.49786,0.125393
10000,36,0.555556,0.27066,-3.85635,-0.58401
10000,37,0.569444,0.177663,-3.27769,-0.367183
10000,38,0.532407,-0.000501039,-2.77698,-0.677702
10000,39,0.569444,1.13343,-3.62652,-0.0175865
10000,40,0.578704,0.0709934,-2.61346,0.0621245
10000,41,0.597222,0.537751,-1.72344,0.576052
10000,42,0.523148,-0.653023,-2.55981,-0.232896
10000,43,0.731481,-0.27682,-1.29363,-0.310237
10000,44,0.0740741,2.5216,-2.02833,1.50653
10000,45,1.66667,0,0,0
10000,46,-,-,-,-
10000,47,1.66667,0,0,0
10000,48,-,-,-,-
10000,49,-,-,-,-
20000,0,-,-,-,-
20000,1,1.66667,0,0,0
20000,2,-,-,-,-
20000,3,1.66667,0,0,0
