Iteration,Interval,Density
150000,0;0.5,0
150000,0.5;1,49.1107
150000,1;1.5,169.776
150000,1.5;2,114.282
150000,2;2.5,113.934
150000,2.5;3,97.8645
150000,3;3.5,89.1769
150000,3.5;4,80.2367
150000,4;4.5,70.4712
150000,4.5;5,62.9619
150000,5;5.5,55.3802
150000,5.5;6,48.3526
150000,6;6.5,41.7074
150000,6.5;7,35.7845
150000,7;7.5,29.6951
150000,7.5;8,24.2136
150000,8;8.5,18.9864
150000,8.5;9,13.8948
150000,9;9.5,9.60695
150000,9.5;10,6.03757
150000,10;10.5,3.74702
150000,10.5;11,2.15221
150000,11;11.5,1.1253
150000,11.5;12,0.588979
150000,12;12.5,0.219512
150000,12.5;13,0.0969124
150000,13;13.5,0.0271931
150000,13.5;14,0.00589203
150000,14;14.5,0.000783693
150000,14.5;15,0
150000,15;15.5,0
150000,15.5;16,0
151000,0;0.5,0
151000,0.5;1,47.4736
151000,1;1.5,165.454
151000,1.5;2,115.108
151000,2;2.5,113.621
151000,2.5;3,98.4312
151000,3;3.5,90.8161
151000,3.5;4,80.2819
151000,4;4.5,71.1401
151000,4.5;5,63.0042
151000,5;5.5,55.6283
151000,5.5;6,48.5499
151000,6;6.5,41.459
151000,6.5;7,35.8788
151000,7;7.5,29.341
151000,7.5;8,23.7977
151000,8;8.5,18.8321
151000,8.5;9,13.8657
151000,9;9.5,9.44516
151000,9.5;10,6.19993
151000,10;10.5,3.70007
151000,10.5;11,2.2004
151000,11;11.5,1.19445
151000,11.5;12,0.587826
151000,12;12.5,0.259809
151000,12.5;13,0.0939757
151000,13;13.5,0.0389767
151000,13.5;14,0.0092589
151000,14;14.5,0.00313477
151000,14.5;15,0.00146293
151000,15;15.5,0
151000,15.5;16,0
152000,0;0.5,0
152000,0.5;1,50.4749
152000,1;1.5,167.867
152000,1.5;2,112.733
152000,2;2.5,117.409
152000,2.5;3,101.118
152000,3;3.5,93.3876
152000,3.5;4,82.6777
152000,4;4.5,73.4284
152000,4.5;5,64.5828
152000,5;5.5,57.3304
152000,5.5;6,49.1897
152000,6;6.5,41.74
152000,6.5;7,35.3167
152000,7;7.5,29.2653
152000,7.5;8,23.2574
152000,8;8.5,18.3739
152000,8.5;9,13.1903
152000,9;9.5,9.15877
152000,9.5;10,5.7279
152000,10;10.5,3.57436
152000,10.5;11,2.10539
152000,11;11.5,1.09889
152000,11.5;12,0.57169
152000,12;12.5,0.250265
152000,12.5;13,0.0929967
152000,13;13.5,0.0326317
152000,13.5;14,0.0143092
152000,14;14.5,0.00156739
152000,14.5;15,0.00146293
152000,15;15.5,0
152000,15.5;16,0
153000,0;0.5,0
153000,0.5;1,44.1996
153000,1;1.5,168.972
153000,1.5;2,113.817
153000,2;2.5,114.654
153000,2.5;3,99.8164
153000,3;3.5,90.2145
153000,3.5;4,82.9715
153000,4;4.5,71.7913
153000,4.5;5,65.4285
153000,5;5.5,56.1879
153000,5.5;6,48.7664
153000,6;6.5,42.1309
153000,6.5;7,34.6323
153000,7;7.5,29.6316
153000,7.5;8,23.4375
153000,8;8.5,18.8789
153000,8.5;9,13.5186
153000,9;9.5,9.42098
153000,9.5;10,5.91705
153000,10;10.5,3.56527
153000,10.5;11,2.06546
