Iteration,Interval,Density
150000,0;0.5,0
150000,0.5;1,49.1107
150000,1;1.5,169.776
150000,1.5;2,114.282
150000,2;2.5,113.934
150000,2.5;3,97.8645
150000,3;3.5,89.1769
150000,3.5;4,80.2367
150000,4;4.5,70.4712
150000,4.5;5,62.9619
150000,5;5.5,55.3802
150000,5.5;6,48.3526
150000,6;6.5,41.7074
150000,6.5;7,35.7845
150000,7;7.5,29.6951
150000,7.5;8,24.2136
150000,8;8.5,18.9864
150000,8.5;9,13.8948
150000,9;9.5,9.60695
150000,9.5;10,6.03757
150000,10;10.5,3.74702
150000,10.5;11,2.15221
150000,11;11.5,1.1253
150000,11.5;12,0.588979
150000,12;12.5,0.219512
150000,12.5;13,0.0969124
150000,13;13.5,0.0271931
150000,13.5;14,0.00589203
150000,14;14.5,0.000783693
150000,14.5;15,0
150000,15;15.5,0
150000,15.5;16,0
151000,0;0.5,0
151000,0.5;1,46.6551
151000,1;1.5,164.147
151000,1.5;2,117.224
151000,2;2.5,113.183
151000,2.5;3,98.2003
151000,3;3.5,90.395
151000,3.5;4,79.9994
151000,4;4.5,71.3337
151000,4.5;5,63.0042
151000,5;5.5,55.8244
151000,5.5;6,48.1025
151000,6;6.5,41.6015
151000,6.5;7,35.6239
151000,7;7.5,29.3501
151000,7.5;8,24.1156
151000,8;8.5,18.5983
151000,8.5;9,13.8221
151000,9;9.5,9.55302
151000,9.5;10,6.26354
151000,10;10.5,3.74853
151000,10.5;11,2.17975
151000,11;11.5,1.21582
151000,11.5;12,0.5763
151000,12;12.5,0.26193
151000,12.5;13,0.0969124
151000,13;13.5,0.0398832
151000,13.5;14,0.00841719
151000,14;14.5,0.00391846
151000,14.5;15,0.00146293
151000,15;15.5,0
151000,15.5;16,0
152000,0;0.5,0
152000,0.5;1,44.4724
152000,1;1.5,173.898
152000,1.5;2,116.45
152000,2;2.5,115.687
152000,2.5;3,101.789
152000,3;3.5,93.2222
152000,3.5;4,83.0845
152000,4;4.5,73.9124
152000,4.5;5,65.0973
152000,5;5.5,57.4689
152000,5.5;6,49.1079
152000,6;6.5,42.1757
152000,6.5;7,35.3621
152000,7;7.5,29.1503
152000,7.5;8,23.26
152000,8;8.5,18.3505
152000,8.5;9,13.2506
152000,9;9.5,8.99326
152000,9.5;10,5.62245
152000,10;10.5,3.50318
152000,10.5;11,1.94291
152000,11;11.5,1.1429
152000,11.5;12,0.519823
152000,12;12.5,0.247083
152000,12.5;13,0.0861443
152000,13;13.5,0.0271931
152000,13.5;14,0.0117841
152000,14;14.5,0.000783693
152000,14.5;15,0
152000,15;15.5,0
152000,15.5;16,0
153000,0;0.5,0
153000,0.5;1,47.4736
153000,1;1.5,170.279
153000,1.5;2,115.83
153000,2;2.5,117.284
153000,2.5;3,100.068
153000,3;3.5,92.8763
153000,3.5;4,81.3894
153000,4;4.5,73.8068
153000,4.5;5,64.5124
153000,5;5.5,56.5284
153000,5.5;6,48.9059
153000,6;6.5,42.1961
153000,6.5;7,35.5576
153000,7;7.5,29.4712
153000,7.5;8,23.6282
153000,8;8.5,18.2056
153000,8.5;9,13.529
153000,9;9.5,9.18481
153000,9.5;10,5.73795
153000,10;10.5,3.49106
153000,10.5;11,1.95943
153000,11;11.5,1.13158
